Timestamp,Gender,Age_Group,Occupation,Usage_Frequency,Travel_From,Travel_To,Trip_Reason,Booking_Time,Fare_Offered_PKR,Suggested_Fare_Reasonable,Offer_vs_Suggested,Driver_Responses,Wait_Longer,Fares_Higher_Noticed,Fares_Highest_When,Change_Travel_Time,Weather_Affected,Vs_Other_Apps,Biggest_Frustration,Would_Recommend
2026-03-05 18:24:36-05:00,Male,25–34,Employed,A few times a month,Shershah colony lahore,"Johar town, Kasur",Work,Morning (8–11 AM);Night (6–10 PM),,Usually,I offer exactly suggested,3–5,"No, I usually get picked up quickly",Yes,During rain,Sometimes,"Yes, fare went up",Slightly cheaper,High fares,Maybe
2026-03-05 19:42:06-05:00,Female,18–24,Student,Daily,Tariq Jameel road,Dubai town,University/School,Early Morning (5–8 AM);Afternoon (11 AM–2 PM),,Rarely,I offer exactly suggested,More than 5,"Yes, mornings",Yes,Morning rush (8–10 AM);Evening rush (5–8 PM),"No, I travel whenever needed",Both (fare up and wait longer),Much cheaper,Long wait,Maybe
2026-03-05 19:50:51-05:00,Female,18–24,Student,Once a week,Badami bagh,Gulberg ,University/School,Early Morning (5–8 AM),,Sometimes,I offer slightly more to get accepted faster,1–2,"No, I usually get picked up quickly",Yes,Morning rush (8–10 AM),Sometimes,I don't use it in rain,About the same,Drivers rejecting offers,Yes
2026-03-05 19:54:45-05:00,Male,18–24,Student,Once a week,"Wapda town, College road",,University/School,Afternoon (11 AM–2 PM);Night (6–10 PM),,Rarely,I offer exactly suggested,3–5,"Yes, late night",Yes,Morning rush (8–10 AM);Late night;Weekends;During rain,"No, I travel whenever needed","Yes, fare went up",Slightly cheaper,Drivers rejecting offers,Maybe
2026-03-05 19:55:21-05:00,Male,18–24,Student,A few times a month,Bahia town Lahore ,superior university gold campus,University/School,Afternoon (11 AM–2 PM),,Usually,I offer exactly suggested,More than 5,"No, I usually get picked up quickly",Yes,Evening rush (5–8 PM),"No, I travel whenever needed",No difference,Much cheaper,Safety concerns,Yes
2026-03-05 19:55:27-05:00,Female,18–24,Student,Once a week,Sultan town ,Superior uni ,University/School,Afternoon (11 AM–2 PM),,Usually,I offer less than suggested,,"No, I usually get picked up quickly",Not sure,During rain,Sometimes,I don't use it in rain,About the same,Drivers rejecting offers,No
2026-03-05 19:57:44-05:00,Male,18–24,Student,Rarely,Wapda Town,Collage road,Other,Night (6–10 PM),,Sometimes,I offer exactly suggested,3–5,"No, I usually get picked up quickly",Not sure,During rain,"No, I travel whenever needed","Yes, fare went up",About the same,"Nothing, I'm satisfied",Yes
2026-03-05 20:14:31-05:00,Female,18–24,Student,Once a week,Gulberg,Gulberg,University/School,Early Morning (5–8 AM);Morning (8–11 AM);Afternoon (11 AM–2 PM);Evening (2–6 PM);Night (6–10 PM);Late Night (10 PM+),,Always,I offer slightly more to get accepted faster,3–5,"Yes, mornings",Yes,Morning rush (8–10 AM);Evening rush (5–8 PM);Late night;Weekends;During rain,Sometimes,Both (fare up and wait longer),About the same,Long wait,Yes
2026-03-05 20:40:59-05:00,Female,18–24,Student,3–5 times a week,Shershah ,Superior university ,University/School,Morning (8–11 AM);Evening (2–6 PM),,Sometimes,I offer exactly suggested,3–5,"Yes, mornings",Yes,Morning rush (8–10 AM);Evening rush (5–8 PM),"No, I travel whenever needed",Both (fare up and wait longer),About the same,Drivers rejecting offers,Yes
2026-03-05 20:44:56-05:00,Female,18–24,Student,3–5 times a week,Mustafa town,Johar Town / its vary where I have to go,University/School,Afternoon (11 AM–2 PM),,Usually,I offer exactly suggested,1–2,"Yes, mornings",Yes,Evening rush (5–8 PM),"No, I travel whenever needed",Both (fare up and wait longer),Slightly cheaper,Long wait,Yes
2026-03-05 20:46:07-05:00,Female,18–24,Other,A few times a month,Sant nagar,Gulberg,Shopping,Evening (2–6 PM),,Sometimes,I offer exactly suggested,More than 5,"Yes, evenings",Yes,Evening rush (5–8 PM),"No, I travel whenever needed","Yes, wait was longer",Slightly cheaper,"Nothing, I'm satisfied",Yes
2026-03-05 20:51:58-05:00,Female,25–34,Student,Rarely,Johar town ,Gulberg,University/School,Afternoon (11 AM–2 PM),,Usually,I offer less than suggested,3–5,"Yes, mornings",Yes,Afternoon (1–3 PM),Sometimes,Both (fare up and wait longer),Slightly cheaper,,
2026-03-05 20:52:11-05:00,,,,,,,,,,,,,,,,,,,,
2026-03-05 20:53:42-05:00,Female,25–34,Student,A few times a month,Johar town ,Gulberg ,University/School,Early Morning (5–8 AM);Afternoon (11 AM–2 PM),,Usually,I offer less than suggested,3–5,"Yes, evenings",Yes,Afternoon (1–3 PM),Sometimes,Both (fare up and wait longer),Slightly cheaper,Long wait,Yes
2026-03-05 21:00:20-05:00,Female,25–34,Employed,3–5 times a week,Defence,Johar town ,Work,Morning (8–11 AM),,Usually,I offer less than suggested,1–2,"Yes, mornings",Yes,Morning rush (8–10 AM),"Yes, always","Yes, fare went up",About the same,High fares,Yes
2026-03-05 21:00:31-05:00,Female,18–24,Student,A few times a month,Thokar,Raiwind road( superior uni),University/School,Morning (8–11 AM),,Sometimes,I offer less than suggested,3–5,"No, I usually get picked up quickly",Yes,Late night;Weekends;During rain,"No, I travel whenever needed",Both (fare up and wait longer),About the same,Long wait,Yes
2026-03-05 21:01:55-05:00,Male,18–24,Freelancer,3–5 times a week,Gulberg ,Johar town ,Social Plans,Afternoon (11 AM–2 PM),,Sometimes,I offer exactly suggested,1–2,"Yes, evenings",No,Afternoon (1–3 PM),Sometimes,Both (fare up and wait longer),About the same,High fares,Yes
2026-03-05 21:54:15-05:00,Male,18–24,Student,A few times a month,Kot Lakhpat ,Defence ,Other,Afternoon (11 AM–2 PM),,Usually,I offer exactly suggested,1–2,"Yes, late night",No,Evening rush (5–8 PM),"Yes, always","Yes, fare went up",About the same,Drivers rejecting offers,Maybe
2026-03-05 22:22:30-05:00,Male,18–24,Student,Rarely,Venus housing society Lahore ,In Lahore ,Social Plans,Night (6–10 PM),,Sometimes,I offer exactly suggested,1–2,"No, I usually get picked up quickly",Not sure,,"No, I travel whenever needed",I don't use it in rain,About the same,High fares,Maybe
2026-03-05 22:41:05-05:00,Female,18–24,Other,Rarely,I have never used ,Rarely traveled to gulberg,Social Plans,Afternoon (11 AM–2 PM),,Sometimes,I offer less than suggested,1–2,"Yes, evenings",Yes,Evening rush (5–8 PM),"No, I travel whenever needed",Both (fare up and wait longer),More expensive,Long wait,Maybe
2026-03-05 23:08:15-05:00,Female,18–24,Student,A few times a month,Uet ,Raiwand road ,University/School,Afternoon (11 AM–2 PM),,Sometimes,I offer slightly more to get accepted faster,1–2,"Yes, late night",Yes,Late night,Sometimes,"Yes, fare went up",Slightly cheaper,"Nothing, I'm satisfied",Yes
2026-03-05 23:51:05-05:00,Female,18–24,Student,3–5 times a week,"Hostel,university,home","Johartown,riwand,gullberg",Social Plans,Night (6–10 PM),,Usually,I offer slightly more to get accepted faster,More than 5,"Yes, mornings",Yes,Morning rush (8–10 AM);Weekends;During rain,Sometimes,"Yes, fare went up",About the same,Safety concerns,Maybe
2026-03-05 23:55:55-05:00,Female,18–24,Self-Employed,A few times a month,Home,Home,Other,Evening (2–6 PM);Night (6–10 PM),,Sometimes,I offer less than suggested,3–5,"Yes, late night",Yes,Evening rush (5–8 PM),Sometimes,"Yes, fare went up",More expensive,"Nothing, I'm satisfied",Yes
2026-03-06 01:06:10-05:00,Female,18–24,Student,A few times a month,Mao college Lahore ,Not one there are many different areas it's depend on where we going but mostly resturents ,Social Plans,Evening (2–6 PM),,Usually,I offer less than suggested,More than 5,"No, I usually get picked up quickly",Yes,Afternoon (1–3 PM),"No, I travel whenever needed",Both (fare up and wait longer),Slightly cheaper,Drivers rejecting offers,Yes
2026-03-06 01:41:41-05:00,Female,25–34,Self-Employed,Rarely,Ravi road ,Different areas,Work,Morning (8–11 AM),,Usually,I offer exactly suggested,1–2,"Yes, mornings",Yes,Morning rush (8–10 AM),"No, I travel whenever needed",Both (fare up and wait longer),Slightly cheaper,Long wait,Maybe
2026-03-06 15:34:38-05:00,Male,18–24,Student,A few times a month,Shershah colony,Thokar bypass,Other,Morning (8–11 AM);Afternoon (11 AM–2 PM);Evening (2–6 PM),,Sometimes,I offer exactly suggested,More than 5,"No, I usually get picked up quickly",Yes,Evening rush (5–8 PM);Late night,"No, I travel whenever needed",Both (fare up and wait longer),About the same,Drivers rejecting offers,Yes
2026-03-06 17:12:38-05:00,Male,18–24,Employed,Daily,Iqbal town ,Bahria town,Work,Late Night (10 PM+),,Sometimes,I offer slightly more to get accepted faster,1–2,"Yes, late night",Yes,Evening rush (5–8 PM),"No, I travel whenever needed",I don't use it in rain,More expensive,High fares,Yes
2026-03-06 17:27:44-05:00,Male,18–24,Student,Daily,Johar town E1,Minhaj University Lahore ,University/School,Morning (8–11 AM);Evening (2–6 PM),,Sometimes,I offer less than suggested,1–2,"Yes, mornings",Yes,Evening rush (5–8 PM);Late night;During rain,"No, I travel whenever needed",Both (fare up and wait longer),Slightly cheaper,Drivers rejecting offers,Yes
2026-03-06 23:11:38-05:00,Male,18–24,Student,Once a week,Lahore ,Daewoo station ,Other,Evening (2–6 PM),,Always,I offer exactly suggested,3–5,"No, I usually get picked up quickly",Not sure,Weekends,"No, I travel whenever needed",I don't use it in rain,About the same,"Nothing, I'm satisfied",Yes
2026-03-07 05:52:47-05:00,Female,25–34,Self-Employed,Once a week,Lahore,Kasur,Social Plans,Afternoon (11 AM–2 PM),,Always,I offer exactly suggested,,"Yes, late night",No,Afternoon (1–3 PM),Sometimes,"Yes, wait was longer",About the same,Long wait,Maybe
2026-03-08 06:44:51-05:00,Female,Under 18,Student,Once a week,College road ,Superior university,University/School,Morning (8–11 AM);Afternoon (11 AM–2 PM);Evening (2–6 PM);Night (6–10 PM),,Rarely,I offer less than suggested,3–5,"Yes, mornings",Yes,Morning rush (8–10 AM);Evening rush (5–8 PM);Weekends;During rain,Sometimes,Both (fare up and wait longer),Slightly cheaper,High fares,Yes
2026-03-08 12:41:47-05:00,Female,18–24,Student,Rarely,Mustafa Town Lahore ,Anarkali ,University/School,Morning (8–11 AM),,Sometimes,I offer less than suggested,3–5,"No, I usually get picked up quickly",Yes,Evening rush (5–8 PM),"No, I travel whenever needed","Yes, wait was longer",About the same,"Nothing, I'm satisfied",Yes
2026-03-08 13:34:16-05:00,Female,18–24,Student,A few times a month,Lahore UET ,Rahbar terminal ,Other,Evening (2–6 PM),,Rarely,I offer less than suggested,3–5,"No, I usually get picked up quickly",Yes,Afternoon (1–3 PM);Weekends,"No, I travel whenever needed",I don't use it in rain,Slightly cheaper,Drivers rejecting offers,Maybe
2026-03-08 15:52:45-05:00,Female,18–24,Student,A few times a month,GPO,Orange line station ,Other,Afternoon (11 AM–2 PM),,Sometimes,I offer exactly suggested,3–5,"No, I usually get picked up quickly",Yes,Evening rush (5–8 PM);Weekends,"No, I travel whenever needed",I don't use it in rain,Slightly cheaper,Long wait,Maybe
2026-03-08 16:32:13-05:00,Female,18–24,Student,A few times a month,From my house or university,To my university or house or on some occasions to a friend's house,University/School,Morning (8–11 AM);Evening (2–6 PM),,Usually,I offer exactly suggested,3–5,"Yes, evenings",Yes,Afternoon (1–3 PM);Evening rush (5–8 PM),Sometimes,"Yes, wait was longer",Slightly cheaper,Drivers rejecting offers,Yes
2026-03-08 17:00:56-05:00,Prefer not to say,25–34,Student,Once a week,Iqbal town,Mall road ,University/School,Morning (8–11 AM),,Sometimes,I offer exactly suggested,1–2,"Yes, evenings",Yes,Evening rush (5–8 PM),Sometimes,"Yes, wait was longer",Slightly cheaper,Safety concerns,Maybe
2026-03-08 18:00:23-05:00,Female,18–24,Student,Rarely,Gulberg,Model town,Other,Afternoon (11 AM–2 PM),,Sometimes,I offer exactly suggested,1–2,"No, I usually get picked up quickly",Yes,Afternoon (1–3 PM),"No, I travel whenever needed",I don't use it in rain,About the same,Safety concerns,Maybe
2026-03-08 18:58:38-05:00,Female,18–24,Student,Rarely,Home,University ,University/School,Morning (8–11 AM),,Sometimes,I offer slightly more to get accepted faster,3–5,"Yes, mornings",Not sure,Evening rush (5–8 PM),"No, I travel whenever needed",Both (fare up and wait longer),About the same,Safety concerns,No
2026-04-07 00:15:02-05:00,Male,18–24,Student,A few times a month,Dubai Town ,Bund Road,Other,Afternoon (11 AM–2 PM),,Usually,I offer exactly suggested,1–2,"Yes, late night",Yes,Morning rush (8–10 AM);Late night;Weekends;During rain,"No, I travel whenever needed",Both (fare up and wait longer),Slightly cheaper,App issues,Maybe
2026-04-07 00:43:16-05:00,Male,18–24,Student,Once a week,Dubai town,Emporium mall,Shopping,Afternoon (11 AM–2 PM);Evening (2–6 PM),,Sometimes,I offer exactly suggested,More than 5,"Yes, evenings",Yes,Afternoon (1–3 PM);Evening rush (5–8 PM),"No, I travel whenever needed",Both (fare up and wait longer),Slightly cheaper,High fares,Maybe
2026-04-07 09:53:33-05:00,Male,18–24,Freelancer,Daily,Ali town ,DUBAI TOWN ,University/School,Morning (8–11 AM),,Sometimes,I offer exactly suggested,More than 5,"No, I usually get picked up quickly",Not sure,Morning rush (8–10 AM);Weekends,Sometimes,"Yes, wait was longer",Slightly cheaper,Long wait,No
2026-04-24 18:00:05-05:00,Male,18–24,Student,Daily,Raiwind,Superior university,University/School,Early Morning (5–8 AM),,Sometimes,I offer less than suggested,3–5,"Yes, mornings",Yes,Late night,"Yes, always","Yes, fare went up",More expensive,High fares,No
